2014	1	0
2014	2	1
2014	3	2
2014	4	3
2014	5	4
2014	6	5
2014	7	6
2014	8	7
2014	9	8
2014	10	9
2014	11	10
2014	12	11
2014	13	12
2014	14	13
2014	15	14
2014	16	15
2014	17	16
2014	18	17
2014	19	18
2014	20	19
2014	21	20
2014	22	21
2014	23	22
2014	24	23
2014	25	24
2014	26	25
2014	27	26
2014	28	27
2014	29	28
2014	30	29
2014	31	30
2014	32	31
2015	1	32
2015	2	33
2015	3	34
2015	4	35
2015	5	36
2015	6	37
2015	7	38
2015	8	39
2015	9	40
2015	10	41
2015	11	42
2015	12	43
2015	13	44
2015	14	45
2015	15	46
2015	16	47
2015	17	48
2015	18	49
2015	19	50
2015	20	51
2015	21	52
2015	22	53
2015	23	54
2015	24	55
2015	25	56
2015	26	57
2015	27	58
2015	28	59
2015	29	60
2015	30	61
2015	31	62
2015	32	63
2016	1	64
2016	2	65
2016	3	66
2016	4	67
2016	5	68
2016	6	69
2016	7	70
2016	8	71
2016	9	72
2016	10	73
2016	11	74
2016	12	75
2016	13	76
2016	14	77
2016	15	78
2016	16	79
2016	17	80
2016	18	81
2016	19	82
2016	20	83
2016	21	84
2016	22	85
2016	23	86
2016	24	87
2016	25	88
2016	26	89
2016	27	90
2016	28	91
2016	29	92
2016	30	93
2016	31	94
2016	32	95
2018	1	96
2018	2	97
2018	3	98
2018	4	99
2018	5	100
2018	6	101
2018	7	102
2018	8	103
2018	9	104
2018	10	105
2018	11	106
2018	12	107
2018	13	108
2018	14	109
2018	15	110
2018	16	111
2018	17	112
2018	18	113
2018	19	114
2018	20	115
2018	21	116
2018	22	117
2018	23	118
2018	24	119
2018	25	120
2018	26	121
2018	27	122
2018	28	123
2018	29	124
2018	30	125
2018	31	126
2018	32	127
2019	1	128
2019	2	129
2019	3	130
2019	4	131
2019	5	132
2019	6	133
2019	7	134
2019	8	135
2019	9	136
2019	10	137
2019	11	138
2019	12	139
2019	13	140
2019	14	141
2019	15	142
2019	16	143
2019	17	144
2019	18	145
2019	19	146
2019	20	147
2019	21	148
2019	22	149
2019	23	150
2019	24	151
2019	25	152
2019	26	153
2019	27	154
2019	28	155
2019	29	156
2019	30	157
2019	31	158
2019	32	159
201a	1	160
201a	2	161
201a	3	162
201a	4	163
201a	5	164
201a	6	165
201a	7	166
201a	8	167
201a	9	168
201a	10	169
201a	11	170
201a	12	171
201a	13	172
201a	14	173
201a	15	174
201a	16	175
201a	17	176
201a	18	177
201a	19	178
201a	20	179
201a	21	180
201a	22	181
201a	23	182
201a	24	183
201a	25	184
201a	26	185
201a	27	186
201a	28	187
201a	29	188
201a	30	189
201a	31	190
201a	32	191
201c	1	192
201c	2	193
201c	3	194
201c	4	195
201c	5	196
201c	6	197
201c	7	198
201c	8	199
201c	9	200
201c	10	201
201c	11	202
201c	12	203
201c	13	204
201c	14	205
201c	15	206
201c	16	207
201c	17	208
201c	18	209
201c	19	210
201c	20	211
201c	21	212
201c	22	213
201c	23	214
201c	24	215
201c	25	216
201c	26	217
201c	27	218
201c	28	219
201c	29	220
201c	30	221
201c	31	222
201c	32	223
